ticker,metric,period,current,revision_7d,source,fetched_at,record_type,up_7d,down_7d,up_30d,down_30d,revision_breadth_30d_pct,low,high,estimate_growth_pct
ABBV,eps,+1y,16.28042,0.1508,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABBV,revenue,0q,16757253430.0,0.0865,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABBV,revenue,+1q,17295715160.0,0.0963,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABBV,revenue,0y,67250902560.0,0.0996,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABBV,revenue,+1y,72811455440.0,0.08270001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,eps,0q,1.66,0.044,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,eps,+1q,1.72333,0.12640001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,eps,0y,6.73,0.123500004,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,eps,+1y,7.10714,0.055999998,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,revenue,0q,323704000.0,0.0744,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,revenue,+1q,331845000.0,0.059899997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,revenue,0y,1299184600.0,0.0728,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABCB,revenue,+1y,1364336800.0,0.050100002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,eps,0q,0.03471,0.081599995,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,eps,+1q,0.04975,0.116000004,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,eps,0y,0.19608,0.0936,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,eps,+1y,0.21439,0.0934,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,revenue,0q,20820610060.0,0.0364,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,revenue,+1q,22234436140.0,0.0665,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,revenue,0y,91886892980.0,0.041300002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABEV,revenue,+1y,96317571940.0,0.0482,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,eps,0q,6.30734,-0.1511,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,eps,+1q,6.90951,-0.0363,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,eps,0y,25.75388,-0.083500005,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,eps,+1y,29.39594,0.14140001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,revenue,0q,4486849990.0,0.025999999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,revenue,+1q,4743753940.0,-0.0119,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,revenue,0y,18089527400.0,0.005,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABG,revenue,+1y,18848562260.0,0.042,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,eps,0q,1.01381,0.2364,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,eps,+1q,1.24497,0.4147,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,eps,0y,3.97749,0.15619999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,eps,+1y,4.35499,0.0949,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,revenue,0q,2319445000.0,0.0429,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,revenue,+1q,2376052690.0,0.0352,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,revenue,0y,9228847690.0,0.0552,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABM,revenue,+1y,9556467010.0,0.0355,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,eps,0q,1.247,0.21069999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,eps,+1q,2.75567,0.2469,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,eps,0y,5.08138,0.2609,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,eps,+1y,6.03541,0.1878,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,revenue,0q,3573303550.0,0.1542,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,revenue,+1q,4605792810.0,0.1247,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,revenue,0y,13962049890.0,0.14060001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABNB,revenue,+1y,15425722520.0,0.10479999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,eps,0q,0.028,-0.888,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,eps,+1q,0.08,-0.7714,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,eps,0y,0.274,-0.7439,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,eps,+1y,0.608,1.219,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,revenue,0q,48459750.0,-0.2949,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,revenue,+1q,49737000.0,0.2998,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,revenue,0y,208514750.0,-0.1245,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABR,revenue,+1y,219237750.0,0.0514,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,eps,0q,1.41767,0.090500005,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,eps,+1q,1.63287,0.088599995,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,eps,0y,5.50659,0.0692,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,eps,+1y,6.06666,0.1017,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,revenue,0q,13004806000.0,0.1439,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,revenue,+1q,13555328130.0,0.18290001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,revenue,0y,50318383630.0,0.1351,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABT,revenue,+1y,54634325260.0,0.0858,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,eps,0q,-0.90567,-0.014199999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,eps,+1q,-0.69233,0.71970004,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,eps,0y,-3.6435,0.3487,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,eps,+1y,-3.264,0.1042,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,revenue,0q,819070.0,-0.25059998,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,revenue,+1q,817300.0,-0.6,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,revenue,0y,74922880.0,15.2876005,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABVX,revenue,+1y,82157340.0,0.096599996,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,eps,0q,0.24333,0.106000006,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,eps,+1q,0.272,0.36,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,eps,0y,1.014,0.17909999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,eps,+1y,1.136,0.120299995,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,revenue,0q,66215200.0,0.1777,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,revenue,+1q,71204800.0,0.13069999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,revenue,0y,273627000.0,0.16319999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ABX,revenue,+1y,325850000.0,0.1909,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,eps,0q,1.1835,-0.0681,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,eps,+1q,1.561,0.00059999997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,eps,0y,4.38375,-0.019299999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,eps,+1y,5.0845,0.1599,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,revenue,0q,686100000.0,-0.0689,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,revenue,+1q,722333330.0,-0.0946,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,revenue,0y,2621100000.0,-0.091000006,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACA,revenue,+1y,2848966670.0,0.086899996,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,eps,0q,-0.28667,0.3247,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,eps,+1q,-0.21667,0.5784,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,eps,0y,-1.15667,0.2854,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,eps,+1y,-0.53,0.5418,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,revenue,0q,498759980.0,-0.0063,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,revenue,+1q,528225720.0,0.3104,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,revenue,0y,1941352010.0,-0.0002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACDC,revenue,+1y,2222497150.0,0.14479999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,eps,0q,0.21,-0.1882,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,eps,+1q,0.16,-0.37080002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,eps,0y,0.86467,-0.1498,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,eps,+1y,0.975,0.1276,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,revenue,0q,356205670.0,0.060399998,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,revenue,+1q,348885710.0,0.0582,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,revenue,0y,1412411050.0,0.0612,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACEL,revenue,+1y,1460286750.0,0.0339,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,0q,2.46174,-0.0458,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,+1q,1.837,-0.3368,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,0y,9.28158,-0.056799997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,+1y,9.80667,0.056599997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,0q,4202540500.0,-0.0335,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,+1q,3961169600.0,-0.0007,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,0y,16188469000.0,-0.0175,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,+1y,16492124000.0,0.0188,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,0q,-0.2506,0.054,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,+1q,-0.25604,-1.2168,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,0y,-1.00689,-0.609,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,+1y,-0.93422,0.0722,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,0q,1963710.0,0.0,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,+1q,2396000.0,0.0,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,0y,10051680.0,32.5056,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,+1y,85853250.0,7.5412,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,0q,0.53841,-0.0211,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,+1q,0.4601,0.045700002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,0y,2.27461,0.0434,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,+1y,2.44135,0.0733,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,0q,24842745090.0,-0.0015,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,+1q,19000667550.0,0.0045,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,0y,82468847070.0,-0.0085,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,+1y,83543286970.0,0.012999999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,0q,0.42,-0.22219999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,+1q,-0.125,-1.2049,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,0y,0.96,-0.5385,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,+1y,1.015,0.0573,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,0q,75698000.0,-0.1245,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,+1q,82588000.0,,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,0y,310300000.0,-0.0749,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,+1y,326248000.0,0.0514,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,0q,0.53,0.5143,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,+1q,0.82667,-0.24159999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,0y,3.51667,0.24260001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,+1y,3.84,0.0919,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,0q,430596250.0,0.0731,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,+1q,432101250.0,-0.1042,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,0y,1902134500.0,0.0809,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,+1y,2046288000.0,0.0758,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,0q,0.894,-0.20879999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,+1q,1.04,-0.14050001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,0y,3.834,-0.2143,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,+1y,4.848,0.26450002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,0q,205037920.0,0.0539,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,+1q,214768780.0,0.0054,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,0y,843923510.0,0.0058,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,+1y,925213930.0,0.0963,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,0q,1.48857,0.1109,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,+1q,1.60433,0.17969999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,0y,5.98336,0.1375,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,+1y,6.7092,0.121300004,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,0q,4388621430.0,0.050300002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,+1q,4411758210.0,0.056599997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,0y,16432375650.0,0.018099999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,+1y,17373364150.0,0.0573,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,0q,0.33667,-0.3765,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,+1q,0.47333,0.3148,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,0y,1.67667,0.0414,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,+1y,2.25333,0.3439,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,revenue,0q,269236570.0,0.25010002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,revenue,+1q,324604710.0,0.206,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,revenue,0y,1156579790.0,0.2832,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,revenue,+1y,1455226050.0,0.2582,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACN,eps,0q,3.17936,0.0493,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACN,eps,+1q,3.99114,0.012999999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
